,Framework,Parameter,Embedding_time,Rank-1 Accuracy,Macro_recall,Macro_precision,Macro_f1,KNN_params_recall,KNN_params_precision,KNN_params_f1,NaN_count,Framework_Parameter
27,DeepFace,SFace_retinaface,0.12,0.73924665177153,0.7037654320987654,0.6691527577360911,0.6634905403238737,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (SFace_retinaface)
28,DeepFace,OpenFace_retinaface,0.16,0.0502155473708558,0.0456481481481481,0.0391756093700538,0.038136646577823,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",0,DeepFace (OpenFace_retinaface)
29,DeepFace,DeepID_retinaface,0.12,0.0712082853562505,0.0717592592592592,0.0576647560258671,0.058324475935587,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (DeepID_retinaface)
30,DeepFace,VGG-Face_yunet,0.02,0.8262040397501678,0.8010197697697699,0.7738291863291863,0.7698113968947302,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",42,DeepFace (VGG-Face_yunet)
31,DeepFace,ArcFace_yunet,0.04,0.9125822326959002,0.8993055555555555,0.885650991900992,0.8817621192621193,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",42,DeepFace (ArcFace_yunet)
32,DeepFace,Facenet_yunet,0.1,0.8673064770746359,0.8514451951951951,0.8288869226369225,0.8251479834813168,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",42,DeepFace (Facenet_yunet)
33,DeepFace,Facenet512_yunet,0.1,0.9034018728796092,0.8876376376376376,0.8703095953095953,0.8676049155215823,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",42,DeepFace (Facenet512_yunet)
34,DeepFace,Dlib_yunet,0.07,0.6340540212940983,0.609984984984985,0.5833979271479272,0.5703522286855621,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",42,DeepFace (Dlib_yunet)
35,DeepFace,SFace_yunet,0.01,0.6578340071823238,0.6175550550550551,0.5755401640818307,0.5704548975382308,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 3}",42,DeepFace (SFace_yunet)
36,DeepFace,OpenFace_yunet,0.04,0.0440213176092323,0.0398836336336336,0.0322464239130905,0.0324848606098606,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",42,DeepFace (OpenFace_yunet)
37,DeepFace,DeepID_yunet,0.01,0.0675992402316713,0.0655342842842842,0.0546983130316463,0.0537156110072776,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",42,DeepFace (DeepID_yunet)
38,DeepFace,VGG-Face_fastmtcnn,0.04,0.8044867151139884,0.7826851851851852,0.7487288359788359,0.746574581796804,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (VGG-Face_fastmtcnn)
39,DeepFace,ArcFace_fastmtcnn,0.07,0.8888666478571084,0.8742592592592593,0.8574894179894179,0.8528754743199186,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (ArcFace_fastmtcnn)
40,DeepFace,Facenet_fastmtcnn,0.13,0.8458547800425503,0.8258024691358026,0.8055884773662552,0.7983508364063919,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (Facenet_fastmtcnn)
41,DeepFace,Facenet512_fastmtcnn,0.13,0.8835164723435946,0.8676851851851852,0.8500136684303351,0.8452783389450055,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (Facenet512_fastmtcnn)
42,DeepFace,Dlib_fastmtcnn,0.09,0.6233837124476064,0.6012962962962963,0.5720820105820106,0.5619558342891676,"{'metric': 'l2', 'n_neighbors': 3}","{'metric': 'l2', 'n_neighbors': 3}","{'metric': 'l2', 'n_neighbors': 3}",0,DeepFace (Dlib_fastmtcnn)
43,DeepFace,SFace_fastmtcnn,0.03,0.6984980313509584,0.6616975308641976,0.629720204692427,0.6208450705672929,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,DeepFace (SFace_fastmtcnn)
44,DeepFace,OpenFace_fastmtcnn,0.06,0.0524812095054357,0.0515123456790123,0.0454537037037037,0.0448676508676508,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",0,DeepFace (OpenFace_fastmtcnn)
45,DeepFace,DeepID_fastmtcnn,0.03,0.0648279052506627,0.0662037037037037,0.0534009673454117,0.0536335557446668,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",0,DeepFace (DeepID_fastmtcnn)
